BLE-CONEXÃO,52
BLE-MÓDULO,920
BTD-FUSIVEL,46
BTD-MÓDULO,101
BTD-QUEIMADO,24
CBCOAX-DANIFICADO,91
CBCOAX-REPARO,10
CBCOAX-ROMPIDO,55
CMTS-DEFEITO,290
CMTS-MAUCONTATO,14
COMBINADOR-CBCOAXL,65
FONTE-AJUSTE,200
FONTE-CONECTOR ,10
FONTE-DISJUNTOR,22
FONTE-F.ENERGIA,1100
GERAL-ADEQUAÇÃO,130
GERAL-F.ENERGIA,45
GERAL-Ó.ROMPIDO,461
GERAL-R.INTERNA,210
GERAL-RESET,20
GERAL-S.INTERV,31
GERAL-VERIFICAÇÃO,258
MB-CARCACA,12
MB-CONEXÃO,24
MB-FONTE,124
MB-FUSIVEL,83
MB-MÓDULO,610
PASSIV-CONEXÃO,25
PASSIV-DANIFICADO,14
PASSIV-INSTALACAO,51
PASSIV-MÓDULO,25
PASSIV-OXIDADO,61
PASSIV-OXIDADO,34
PASSIV-PRISIONEIRO,60
PASSIV-RUÍDO,65
SG2000-DANIFICADO,23
SG2000-FUSIVEL ,5
SG2000-LIMPEZA,45
SG2000-MÓDULO,53
SG2000-TRANSMITER ,15
SG4000-FUSIVEL,11
SSP-INSTALACAO,25
TAP-PRISIONEIRO ,24
