Chamado,InicioData,InicioHora,NormalizacaoData,NormalizacaooHora,Interrupcao,Funcionalidade,Item de Configuracao,Causa da Falha,Area,Node
54711,2/9/2014, 11:05,2/9/2014, 13:10,2:04:51,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,BCA,04-A
55176,15/9/2014, 10:40,15/9/2014, 18:30,7:49:25,Node,PASSIVOS,CONEXÃO DANIFICADA,BCA,1
55177,15/9/2014, 10:41,15/9/2014, 18:30,7:48:08,Node,PASSIVOS,CONEXÃO DANIFICADA,BCA,1
55573,25/9/2014, 09:40,25/9/2014, 10:20,0:39:46,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,BCA,4
55579,25/9/2014, 14:46,25/9/2014, 18:00,,Rede Externa,GERAL,VERIFICAÇÃO DE REDE,BCA,2
55761,30/9/2014, 10:39,30/9/2014, 12:37,,Rede Externa,GERAL,VERIFICAÇÃO DE REDE,BCA,5
55768,30/9/2014, 13:19,30/9/2014, 15:40,2:20:22,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,BCA,4
54682,1/9/2014, 14:52,1/9/2014, 17:40,2:47:56,Rede Externa,PASSIVOS,OXIDADO,BET,1
54704,2/9/2014, 09:11,2/9/2014, 12:00,2:48:59,Rede Externa,MB,MÓDULO RF OXIDADO,BET,2
54713,2/9/2014, 11:15,2/9/2014, 14:25,3:09:33,Rede Externa,CABO COAXIAL,CABO COAXIAL DANIFICADO/ROMPIDO,BET,3
54719,2/9/2014, 15:16,2/9/2014, 18:30,3:13:28,Rede Externa,MB,MÓDULO RF QUEIMADO,BET,4
55283,18/9/2014, 09:16,18/9/2014, 12:00,2:43:37,Rede Externa,MB,FUSIVEL QUEIMADO OU COM MAU CONTATO,BET,1
54675,1/9/2014, 13:40,1/9/2014, 14:50,1:09:19,Rede Externa,PASSIVOS,OXIDADO,CEM,1
54688,1/9/2014,16:09,2/9/2014, 13:00,20:50:24,Rede Externa,CABO COAXIAL,CABO COAXIAL DANIFICADO/ROMPIDO,CEM,36
54689,1/9/2014, 16:15,1/9/2014, 21:25,5:09:04,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,CEM,3
54690,1/9/2014, 16:20,1/9/2014, 21:25,5:04:38,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,CEM,3
54694,1/9/2014, 16:42,1/9/2014, 21:00,4:17:54,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,CEM,3
54696,1/9/2014, 18:17,1/9/2014, 21:30,3:12:01,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,CEM,3
54700,1/9/2014, 19:17,1/9/2014, 21:45,2:27:28,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,CEM,3
54705,2/9/2014, 09:48,2/9/2014, 11:10,1:21:28,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,CEM,10
54716,2/9/2014, 13:23,2/9/2014, 16:10,2:46:41,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL RETORNO,CEM,35
54717,2/9/2014, 14:33,4/9/2014, 19:00,47:23:00,Rede Externa,COMBINADOR,DEFEITO ,CEM,23
54721,2/9/2014, 15:46,2/9/2014, 19:30,3:43:50,Rede Externa,MB,MÓDULO RF QUEIMADO,CEM,9
54763,2/9/2014, 20:39,2/9/2014, 22:50,2:10:11,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,CEM,27
54771,3/9/2014, 07:24,3/9/2014, 08:57,1:33:00,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,CEM,33
54799,3/9/2014, 14:27,3/9/2014, 19:00,4:32:38,Node,CABO ÓPTICO,CABO ÓPTICO ROMPIDO,CEM,16
54800,3/9/2014, 14:28,3/9/2014, 19:00,4:31:12,Node,CABO ÓPTICO,CABO ÓPTICO ROMPIDO,CEM,15
54801,3/9/2014, 14:29,3/9/2014, 19:00,4:30:25,Node,CABO ÓPTICO,CABO ÓPTICO ROMPIDO,CEM,27
54802,3/9/2014, 14:31,3/9/2014, 19:00,4:28:52,Node,CABO ÓPTICO,CABO ÓPTICO ROMPIDO,CEM,29
54810,3/9/2014, 16:04,3/9/2014, 18:30,2:25:57,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,CEM,26
54836,4/9/2014, 10:08,4/9/2014, 11:00,0:51:19,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,CEM,2
54842,4/9/2014, 10:57,4/9/2014, 15:00,4:02:26,Rede Externa,CABO COAXIAL,CABO COAXIAL DANIFICADO/ROMPIDO,CEM,16
54848,4/9/2014, 11:38,4/9/2014, 19:10,7:31:16,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL RETORNO,CEM,30
54852,4/9/2014, 12:53,4/9/2014, 22:00,9:06:19,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,CEM,21
54854,4/9/2014, 13:33,4/9/2014, 15:00,1:26:02,Node,BTD,FUSIVEL QUEIMADO OU COM MAU CONTATO,CEM,16
54856,4/9/2014, 14:47,4/9/2014, 15:59,1:11:48,Node,GERAL,FALTA DE ENERGIA COMERCIAL,CEM,24
54857,4/9/2014, 14:48,4/9/2014, 16:34,1:45:19,Node,GERAL,FALTA DE ENERGIA COMERCIAL,CEM,30
54865,4/9/2014, 16:13,4/9/2014, 21:59,,Rede Externa,GERAL,IMPROCEDENTE,CEM,21
54868,4/9/2014, 16:28,4/9/2014, 20:15,3:46:59,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO,CEM,3
54873,4/9/2014, 19:07,4/9/2014, 20:10,1:02:41,Rede Externa,FONTE EQUISUL,DISJUNTOR DESARMADO,CEM,36
54880,5/9/2014, 08:56,5/9/2014, 11:40,2:43:34,Rede Externa,TAP,PRISIONEIRO MAU CONECTADO,CEM,14
54888,5/9/2014, 13:02,5/9/2014, 14:30,,Rede Externa,GERAL,IMPROCEDENTE,CEM,26
54890,5/9/2014, 15:15,5/9/2014, 17:30,,Rede Externa,GERAL,IMPROCEDENTE,CEM,30
54895,5/9/2014, 16:19,5/9/2014, 19:19,2:59:47,Rede Externa,CABO COAXIAL,CABO COAXIAL DANIFICADO/ROMPIDO,CEM,30
54902,5/9/2014, 20:12,5/9/2014, 23:20,3:07:12,Rede Externa,BLE,MÓDULO RF DESALINHADO CANAL DIRETO,CEM,36
54909,6/9/2014, 09:56,6/9/2014, 12:00,2:03:19,Rede Externa,BLE,MÓDULO RF DESALINHADO CANAL DIRETO,CEM,27
54913,6/9/2014, 12:35,6/9/2014, 15:30,2:54:10,Rede Externa,PASSIVOS,DANIFICADO,CEM,30
54916,6/9/2014, 14:12,10/9/2014, 16:00,24:36:00,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL RETORNO,CEM,36
54917,6/9/2014, 15:11,6/9/2014, 17:00,,Rede Externa,GERAL,VERIFICAÇÃO DE REDE,CEM,28
54930,8/9/2014, 10:46,8/9/2014, 13:15,2:28:37,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,CEM,31
54950,8/9/2014, 16:51,8/9/2014, 18:45,1:53:01,Rede Externa,MB,CARCAÇA DANIFICADA,CEM,24
54954,8/9/2014, 18:02,8/9/2014, 21:30,3:27:15,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL RETORNO,CEM,31
54960,8/9/2014, 20:06,9/9/2014, 20:18,15:06:00,Node,PASSIVOS,GERANDO RUÍDO,CEM,30
54961,8/9/2014, 20:47,8/9/2014, 22:55,2:07:48,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL RETORNO,CEM,16
54973,9/9/2014, 11:56,9/9/2014, 15:00,3:03:13,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,CEM,34
54978,9/9/2014, 13:36,9/9/2014, 20:00,6:23:33,Rede Externa,SG2000,MÓDULO RF QUEIMADO,CEM,36
54985,9/9/2014, 16:36,9/9/2014, 18:30,,Rede Externa,GERAL,IMPROCEDENTE,CEM,1
54995,9/9/2014, 20:08,10/9/2014, 20:10,12:10:00,Rede Externa,CABO COAXIAL,CABO COAXIAL DANIFICADO/ROMPIDO,CEM,21
55005,10/9/2014, 10:49,10/9/2014, 17:30,6:40:51,Rede Externa,PASSIVOS,INSTALADO INCORRETAMENTE,CEM,34
55012,10/9/2014, 13:02,10/9/2014, 14:20,,Rede Externa,GERAL,IMPROCEDENTE,CEM,24
55013,10/9/2014, 13:14,10/9/2014, 14:50,1:35:31,Node,GERAL,RUÍDO INTERMITENTE,CEM,37
55029,10/9/2014, 17:32,10/9/2014, 19:00,,Rede Externa,GERAL,IMPROCEDENTE,CEM,35
55030,10/9/2014, 17:35,10/9/2014, 19:15,,Rede Externa,GERAL,IMPROCEDENTE,CEM,35
55035,10/9/2014, 20:23,11/9/2014, 16:30,,Rede Externa,GERAL,ACOMPANHAMENTO DE SERVIÇOS,CEM,36
55055,11/9/2014, 11:47,11/9/2014, 14:20,2:32:10,Rede Externa,CABO COAXIAL,CABO COAXIAL DANIFICADO/ROMPIDO,CEM,7
55058,11/9/2014, 12:34,11/9/2014, 14:25,1:50:58,Node,BTD,RUÍDO,CEM,14
55076,11/9/2014, 17:39,11/9/2014, 20:30,2:50:36,Rede Externa,MB,FUSIVEL QUEIMADO OU COM MAU CONTATO,CEM,14
55078,11/9/2014, 18:57,11/9/2014, 21:15,2:17:34,Rede Externa,SG2000,MÓDULO RF DESALINHADO CANAL DIRETO,CEM,30
55079,11/9/2014, 19:01,11/9/2014, 22:15,3:13:32,Rede Externa,SG2000,MÓDULO RF DESALINHADO CANAL DIRETO,CEM,30
55081,11/9/2014, 19:43,11/9/2014, 23:00,3:16:14,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL RETORNO,CEM,6
55095,12/9/2014, 13:16,15/9/2014, 14:00,2:10:00,Rede Externa,GERAL,ADEQUAÇÃO DE REDE,CEM,30
55096,12/9/2014, 13:35,12/9/2014, 14:55,1:19:04,Rede Externa,BTD,FUSIVEL QUEIMADO OU COM MAU CONTATO,CEM,37
55121,12/9/2014, 16:30,12/9/2014, 19:00,2:29:15,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,CEM,31
55122,12/9/2014, 16:33,12/9/2014, 18:40,,Rede Externa,GERAL,IMPROCEDENTE,CEM,37
55124,12/9/2014, 17:15,12/9/2014, 20:00,,Rede Externa,GERAL,IMPROCEDENTE,CEM,11
55132,12/9/2014, 18:41,12/9/2014, 21:25,2:43:54,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO,CEM,7
55133,12/9/2014, 18:51,12/9/2014, 21:30,2:38:52,Rede Externa,PASSIVOS,OXIDADO,CEM,5
55134,12/9/2014, 18:56,12/9/2014, 21:50,2:53:12,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL RETORNO,CEM,35
55165,14/9/2014, 09:32,14/9/2014, 11:20,1:47:44,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,CEM,22
55180,15/9/2014, 11:42,15/9/2014, 14:45,3:02:56,Node,GERAL,NORMALIZOU SEM INTERVENÇÃO,CEM,14
55185,15/9/2014, 14:41,15/9/2014, 17:00,2:18:18,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL RETORNO,CEM,36
